source,author,title,description,content,published_at,text,clean_text,sentiment,sentiment_score,date,emotion,emotion_score,Bigram_sadness,Frequency_sadness,Bigram_joy,Frequency_joy,Bigram_anger,Frequency_anger
Creative Bloq,joe.foley@futurenet.com (Joe Foley),Are these really the worst logo redesigns ever?,I'm not sure whether this thread is supposed to be serious or not.,"Branding is a minefield these days, with social media ensuring that everybody can share their immediate gut reaction to anything from a new logo to an advert or poster design. Consider the reaction t… [+2289 chars]",2024-11-24T11:00:00Z,"Are these really the worst logo redesigns ever? I'm not sure whether this thread is supposed to be serious or not. Branding is a minefield these days, with social media ensuring that everybody can share their immediate gut reaction to anything from a new logo to an advert or poster design. Consider the reaction t… [+2289 chars]",Are these really the worst logo redesigns ever Im not sure whether this thread is supposed to be serious or not Branding is a minefield these days with social media ensuring that everybody can share their immediate gut reaction to anything from a new logo to an advert or poster design Consider the reaction t 2289 chars,Negative,0.867119073867798,2024-11-24,disgust,0.707883298397064,woke rebrand,3,thing say,3,models brightly,7
BBC News,,"'Trust and reserve judgement' on rebrand, says Jaguar","The iconic carmaker's rebrand has certainly caught people's attention, but will it pay off?","A still from Jaguars new advert which was shared on social media.
Jaguar has urged people to ""trust and reserve judgement"" over the rebrand of the carmaker.
The company, embarking on the biggest ch… [+6438 chars]",2024-11-23T17:03:08Z,"'Trust and reserve judgement' on rebrand, says Jaguar The iconic carmaker's rebrand has certainly caught people's attention, but will it pay off? A still from Jaguars new advert which was shared on social media.
Jaguar has urged people to ""trust and reserve judgement"" over the rebrand of the carmaker.
The company, embarking on the biggest ch… [+6438 chars]",Trust and reserve judgement on rebrand says Jaguar The iconic carmakers rebrand has certainly caught peoples attention but will it pay off A still from Jaguars new advert which was shared on social media Jaguar has urged people to trust and reserve judgement over the rebrand of the carmaker The company embarking on the biggest ch 6438 chars,Positive,0.723142147064209,2024-11-23,fear,0.45178085565567,groveling spot,2,charitable thing,3,rebrand british,7
Biztoc.com,euronews.com,Jaguar leaps into historic rebrand as it keeps the focus on electric cars,"Jaguar's big plans for the future include replacing its historic ""growling cat"" logo with a ""leaping cat"" one, as it attempts to bring modernism into its company design.
Iconic car maker Jaguar has unveiled a new logo and monogram, as part of a new rebrand. T…","Jaguar's big plans for the future include replacing its historic ""growling cat"" logo with a ""leaping cat"" one, as it attempts to bring modernism into its company design.Iconic car maker Jaguar has un… [+139 chars]",2024-11-20T13:55:42Z,"Jaguar leaps into historic rebrand as it keeps the focus on electric cars Jaguar's big plans for the future include replacing its historic ""growling cat"" logo with a ""leaping cat"" one, as it attempts to bring modernism into its company design.
Iconic car maker Jaguar has unveiled a new logo and monogram, as part of a new rebrand. T… Jaguar's big plans for the future include replacing its historic ""growling cat"" logo with a ""leaping cat"" one, as it attempts to bring modernism into its company design.Iconic car maker Jaguar has un… [+139 chars]",Jaguar leaps into historic rebrand as it keeps the focus on electric cars Jaguars big plans for the future include replacing its historic growling cat logo with a leaping cat one as it attempts to bring modernism into its company design Iconic car maker Jaguar has unveiled a new logo and monogram as part of a new rebrand T Jaguars big plans for the future include replacing its historic growling cat logo with a leaping cat one as it attempts to bring modernism into its company designIconic car maker Jaguar has un 139 chars,Positive,0.621026992797852,2024-11-20,neutral,0.444536477327347,headed sad,2,people finally,3,showing models,7
Biztoc.com,foxbusiness.com,Pro-family Volvo ad celebrated on social media following Jaguar rebrand backlash,"Auto brand Volvo is being celebrated for its recent ""pro-life"" ad after fellow luxury car brand Jaguar caused a social media firestorm this week with its rebrand that critics dubbed ""woke.""
The nearly four-minute long ad for Volvo's new fully electric SUV, th…","Auto brand Volvo is being celebrated for its recent ""pro-life"" ad after fellow luxury car brand Jaguar caused a social media firestorm this week with its rebrand that critics dubbed ""woke.""The nearly… [+148 chars]",2024-11-22T16:16:37Z,"Pro-family Volvo ad celebrated on social media following Jaguar rebrand backlash Auto brand Volvo is being celebrated for its recent ""pro-life"" ad after fellow luxury car brand Jaguar caused a social media firestorm this week with its rebrand that critics dubbed ""woke.""
The nearly four-minute long ad for Volvo's new fully electric SUV, th… Auto brand Volvo is being celebrated for its recent ""pro-life"" ad after fellow luxury car brand Jaguar caused a social media firestorm this week with its rebrand that critics dubbed ""woke.""The nearly… [+148 chars]",Profamily Volvo ad celebrated on social media following Jaguar rebrand backlash Auto brand Volvo is being celebrated for its recent prolife ad after fellow luxury car brand Jaguar caused a social media firestorm this week with its rebrand that critics dubbed woke The nearly fourminute long ad for Volvos new fully electric SUV th Auto brand Volvo is being celebrated for its recent prolife ad after fellow luxury car brand Jaguar caused a social media firestorm this week with its rebrand that critics dubbed wokeThe nearly 148 chars,Neutral,0.517965912818909,2024-11-22,anger,0.413797616958618,different usual,2,uk carmaker,3,video rebrand,7
[Removed],,[Removed],[Removed],[Removed],2024-11-21T05:46:12Z,[Removed] [Removed] [Removed],Removed Removed Removed,Neutral,0.618655443191528,2024-11-21,neutral,0.86126309633255,luxury car,2,new spot,3,new york,7
Biztoc.com,fortune.com,Jaguar exec promises his team have not been ‘sniffing the white stuff’ as the luxury carmaker’s rebrand receives online backlash,"If there is one charitable thing to say about Jaguar’s new brand campaign, it’s that people are, at the very least, finally talking about the ailing UK carmaker again. A new spot that aired on social media on Tuesday went viral with over 22 million views alre…","If there is one charitable thing to say about Jaguars new brand campaign, its that people are, at the very least, finally talking about the ailing UK carmaker again. A new spot that aired on social m… [+140 chars]",2024-11-20T14:06:40Z,"Jaguar exec promises his team have not been ‘sniffing the white stuff’ as the luxury carmaker’s rebrand receives online backlash If there is one charitable thing to say about Jaguar’s new brand campaign, it’s that people are, at the very least, finally talking about the ailing UK carmaker again. A new spot that aired on social media on Tuesday went viral with over 22 million views alre… If there is one charitable thing to say about Jaguars new brand campaign, its that people are, at the very least, finally talking about the ailing UK carmaker again. A new spot that aired on social m… [+140 chars]",Jaguar exec promises his team have not been sniffing the white stuff as the luxury carmakers rebrand receives online backlash If there is one charitable thing to say about Jaguars new brand campaign its that people are at the very least finally talking about the ailing UK carmaker again A new spot that aired on social media on Tuesday went viral with over 22 million views alre If there is one charitable thing to say about Jaguars new brand campaign its that people are at the very least finally talking about the ailing UK carmaker again A new spot that aired on social m 140 chars,Positive,0.565098702907562,2024-11-20,joy,0.733563840389252,distanced partys,2,brand campaign,3,rebrand includes,6
Designtaxi.com,Garth Gator,Jaguar’s Abrupt Rebrand Inspires Other Companies To ‘Redesign’ Their Logos Too,"When Jaguar decided to give its brand a fresh coat of paint, others couldn’t resist taking over the wheel. The automaker’s recent makeover—designed to modernize its image as it shifts to an all-electric future—has turned into a meme-fueled playground for bran…","When Jaguar decided to give its brand a fresh coat of paint, others couldnt resist taking over the wheel. The automakers recent makeoverdesigned to modernize its image as it shifts to an all-electric… [+1470 chars]",2024-11-22T10:19:02Z,"Jaguar’s Abrupt Rebrand Inspires Other Companies To ‘Redesign’ Their Logos Too When Jaguar decided to give its brand a fresh coat of paint, others couldn’t resist taking over the wheel. The automaker’s recent makeover—designed to modernize its image as it shifts to an all-electric future—has turned into a meme-fueled playground for bran… When Jaguar decided to give its brand a fresh coat of paint, others couldnt resist taking over the wheel. The automakers recent makeoverdesigned to modernize its image as it shifts to an all-electric… [+1470 chars]",Jaguars Abrupt Rebrand Inspires Other Companies To Redesign Their Logos Too When Jaguar decided to give its brand a fresh coat of paint others couldnt resist taking over the wheel The automakers recent makeoverdesigned to modernize its image as it shifts to an allelectric futurehas turned into a memefueled playground for bran When Jaguar decided to give its brand a fresh coat of paint others couldnt resist taking over the wheel The automakers recent makeoverdesigned to modernize its image as it shifts to an allelectric 1470 chars,Neutral,0.55800724029541,2024-11-22,neutral,0.469423800706863,longtime customer,2,new brand,3,bud light,6
Designer-daily.com,Mirko Humbert,Why the Jaguar rebrand is a total disaster,"At this point, you must all have seen the Jaguar latest video, as it went viral on almost every social media platform. The car brand went for something totally different from their usual ads, as you can see in the embedded video above. If success is determine…","At this point, you must all have seen the Jaguar latest video, as it went viral on almost every social media platform. The car brand went for something totally different from their usual ads, as you … [+2761 chars]",2024-11-22T13:50:15Z,"Why the Jaguar rebrand is a total disaster At this point, you must all have seen the Jaguar latest video, as it went viral on almost every social media platform. The car brand went for something totally different from their usual ads, as you can see in the embedded video above. If success is determine… At this point, you must all have seen the Jaguar latest video, as it went viral on almost every social media platform. The car brand went for something totally different from their usual ads, as you … [+2761 chars]",Why the Jaguar rebrand is a total disaster At this point you must all have seen the Jaguar latest video as it went viral on almost every social media platform The car brand went for something totally different from their usual ads as you can see in the embedded video above If success is determine At this point you must all have seen the Jaguar latest video as it went viral on almost every social media platform The car brand went for something totally different from their usual ads as you 2761 chars,Negative,0.480937659740448,2024-11-22,sadness,0.327798634767532,elon musks,2,carmaker new,3,brightly colored,6
The Week Magazine,Abby Wilson,Jaguar's stalled rebrand,Critics and car lovers are baffled by the luxury car company's 'complete reset',"Jaguar’s ultra-modern, electric-only and uncharacteristically offbeat rebrand has so far proved unconvincing and, for many, confusing.
""The luxury car brand has conveyed an innate sense of style and… [+3952 chars]",2024-11-21T12:52:28Z,"Jaguar's stalled rebrand Critics and car lovers are baffled by the luxury car company's 'complete reset' Jaguar’s ultra-modern, electric-only and uncharacteristically offbeat rebrand has so far proved unconvincing and, for many, confusing.
""The luxury car brand has conveyed an innate sense of style and… [+3952 chars]",Jaguars stalled rebrand Critics and car lovers are baffled by the luxury car companys complete reset Jaguars ultramodern electriconly and uncharacteristically offbeat rebrand has so far proved unconvincing and for many confusing The luxury car brand has conveyed an innate sense of style and 3952 chars,Negative,0.474278539419174,2024-11-21,surprise,0.720238089561462,lead host,2,jaguar exec,2,criticized online,6
Designtaxi.com,Garth Gator,Jaguar Gets Pounced On With Memes After Controversial Brand Revival,"Jaguar is shedding its coat as part of a bold branding effort to lure in a younger, more diverse clientele as it fully transitions to an electric future. But customers think there’s not much to purr about. A striking departure from the classic ‘growler’ desig…","Jaguar is shedding its coat as part of a bold branding effort to lure in a younger, more diverse clientele as it fully transitions to an electric future. But customers think theres not much to purr a… [+2545 chars]",2024-11-20T08:30:37Z,"Jaguar Gets Pounced On With Memes After Controversial Brand Revival Jaguar is shedding its coat as part of a bold branding effort to lure in a younger, more diverse clientele as it fully transitions to an electric future. But customers think there’s not much to purr about. A striking departure from the classic ‘growler’ desig… Jaguar is shedding its coat as part of a bold branding effort to lure in a younger, more diverse clientele as it fully transitions to an electric future. But customers think theres not much to purr a… [+2545 chars]",Jaguar Gets Pounced On With Memes After Controversial Brand Revival Jaguar is shedding its coat as part of a bold branding effort to lure in a younger more diverse clientele as it fully transitions to an electric future But customers think theres not much to purr about A striking departure from the classic growler desig Jaguar is shedding its coat as part of a bold branding effort to lure in a younger more diverse clientele as it fully transitions to an electric future But customers think theres not much to purr a 2545 chars,Neutral,0.573184728622437,2024-11-20,joy,0.406279534101486,latest video,2,know cars,2,jaguar criticized,6
Naturalnews.com,News Editors,Mastermind behind disastrous Jaguar ‘rebrand’ is a BLM-supporting LGBT activist,The mastermind behind Jaguar’s disastrous woke rebrand is a BLM-supporting LGBT activist who pledged to enhance the car company’s commitment to ‘diversity and inclusivity’. (Article by Paul Joseph Watson republished from Modernity.news) Now it makes perfect s…,The mastermind behind Jaguars disastrous woke rebrand is a BLM-supporting LGBT activist who pledged to enhance the car companys commitment to diversity and inclusivity.(Article by Paul Joseph Watson … [+2292 chars],2024-11-22T06:00:00Z,Mastermind behind disastrous Jaguar ‘rebrand’ is a BLM-supporting LGBT activist The mastermind behind Jaguar’s disastrous woke rebrand is a BLM-supporting LGBT activist who pledged to enhance the car company’s commitment to ‘diversity and inclusivity’. (Article by Paul Joseph Watson republished from Modernity.news) Now it makes perfect s… The mastermind behind Jaguars disastrous woke rebrand is a BLM-supporting LGBT activist who pledged to enhance the car companys commitment to diversity and inclusivity.(Article by Paul Joseph Watson … [+2292 chars],Mastermind behind disastrous Jaguar rebrand is a BLMsupporting LGBT activist The mastermind behind Jaguars disastrous woke rebrand is a BLMsupporting LGBT activist who pledged to enhance the car companys commitment to diversity and inclusivity Article by Paul Joseph Watson republished from Modernitynews Now it makes perfect s The mastermind behind Jaguars disastrous woke rebrand is a BLMsupporting LGBT activist who pledged to enhance the car companys commitment to diversity and inclusivityArticle by Paul Joseph Watson 2292 chars,Neutral,0.600778579711914,2024-11-22,neutral,0.400900840759277,kamalas humiliating,2,jaguar unveils,2,colored outfits,6
Autocar,Charlie Martin,Jaguar previews upcoming radical concept – with no rear window,"Concept has remarkably wide rear arches – and no rear window at all


Shock social media post showcases the dramatic curves of the car being revealed on 2 December

Jaguar has released a new preview image of its upcoming Design Vision Concept, providing the b…","Jaguar has released a new preview image of its upcoming Design Vision Concept, providing the best look yet at the car that will set the tone for the brand's new era.
The image, which is of the cars … [+1760 chars]",2024-11-20T20:07:34Z,"Jaguar previews upcoming radical concept – with no rear window Concept has remarkably wide rear arches – and no rear window at all


Shock social media post showcases the dramatic curves of the car being revealed on 2 December

Jaguar has released a new preview image of its upcoming Design Vision Concept, providing the b… Jaguar has released a new preview image of its upcoming Design Vision Concept, providing the best look yet at the car that will set the tone for the brand's new era.
The image, which is of the cars … [+1760 chars]",Jaguar previews upcoming radical concept with no rear window Concept has remarkably wide rear arches and no rear window at all Shock social media post showcases the dramatic curves of the car being revealed on 2 December Jaguar has released a new preview image of its upcoming Design Vision Concept providing the b Jaguar has released a new preview image of its upcoming Design Vision Concept providing the best look yet at the car that will set the tone for the brands new era The image which is of the cars 1760 chars,Positive,0.844990015029907,2024-11-20,surprise,0.400722205638885,facing backlash,2,like company,2,outfits car,6
International Business Times,Carla St. Louis,"Internet Mocks Jaguar's ""Fearless"" Rebrand: 'This Is So Unhinged'","Jaguar, the luxury car maker, jumped the shark in its rebranding efforts, leaving the denizens on the internet utterly confused by its new advertisement.","Jaguar, the luxury car maker owned by Tata Motors, jumped the shark in its rebranding efforts, leaving the denizens on the internet utterly confused by its new advertisement.
The rebranding, led by … [+2478 chars]",2024-11-20T00:50:34Z,"Internet Mocks Jaguar's ""Fearless"" Rebrand: 'This Is So Unhinged' Jaguar, the luxury car maker, jumped the shark in its rebranding efforts, leaving the denizens on the internet utterly confused by its new advertisement. Jaguar, the luxury car maker owned by Tata Motors, jumped the shark in its rebranding efforts, leaving the denizens on the internet utterly confused by its new advertisement.
The rebranding, led by … [+2478 chars]",Internet Mocks Jaguars Fearless Rebrand This Is So Unhinged Jaguar the luxury car maker jumped the shark in its rebranding efforts leaving the denizens on the internet utterly confused by its new advertisement Jaguar the luxury car maker owned by Tata Motors jumped the shark in its rebranding efforts leaving the denizens on the internet utterly confused by its new advertisement The rebranding led by 2478 chars,Negative,0.771892786026001,2024-11-20,fear,0.981561601161957,jaguars rebrand,2,logo rebrand,2,rebrand new,5
Autocar,Charlie Martin,Jaguar releases teaser of upcoming concept – with no rear window,"Concept has remarkably wide rear arches – and completely lacks a rear window


Shock social media post showcases the dramatic curves of the car being revealed on 2 December

Jaguar has released a new teaser image of its upcoming Design Vision Concept, providi…","Jaguar has released a new teaser image of its upcoming Design Vision Concept, providing our best look yet at the car that will set the tone for the brand's new era.
The image, which appears to be of… [+1782 chars]",2024-11-20T20:07:34Z,"Jaguar releases teaser of upcoming concept – with no rear window Concept has remarkably wide rear arches – and completely lacks a rear window


Shock social media post showcases the dramatic curves of the car being revealed on 2 December

Jaguar has released a new teaser image of its upcoming Design Vision Concept, providi… Jaguar has released a new teaser image of its upcoming Design Vision Concept, providing our best look yet at the car that will set the tone for the brand's new era.
The image, which appears to be of… [+1782 chars]",Jaguar releases teaser of upcoming concept with no rear window Concept has remarkably wide rear arches and completely lacks a rear window Shock social media post showcases the dramatic curves of the car being revealed on 2 December Jaguar has released a new teaser image of its upcoming Design Vision Concept providi Jaguar has released a new teaser image of its upcoming Design Vision Concept providing our best look yet at the car that will set the tone for the brands new era The image which appears to be of 1782 chars,Positive,0.774730324745178,2024-11-20,fear,0.315993010997772,jaguar rebrand,2,look like,2,new ad,5
